status,product_area,response,justification,request_type
replied,screen,"Here are the most relevant assessment platform steps. Here is what you can do next based on the support documentation: 1) > **Note:** This option is not currently available in the Claude mobile apps for iOS or Android. 2) Claude lets you view and manage all the devices and browsers where you're currently logged in. This helps you stay in control of your account security — if you notice a session you don't recognize, or you want to log out of a device you no longer use, you can terminate that session directly. 3) Each active session displays the following information:","Replied using corpus-grounded evidence from How do I log out of all active sessions?, Managing your active sessions. Top score=0.170; confidence=medium; product_area=screen. area_confidence=high.",product_issue
escalated,,Thanks for reporting this. I am escalating your request to a human support specialist because this case is sensitive or needs account-level review.,Escalated in  due to critical_outage_signal; confidence=medium; top_evidence_count=5. area_confidence=high.,bug
replied,screen,"Here are the most relevant assessment platform steps. Here is what you can do next based on the support documentation: 1) Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on the most relevant content. 2) To create test variants: 3) You can create a test in HackerRank to assess candidates for specific skills, experience levels, or job roles. Depending on your selection, HackerRank recommends relevant questions or allows you to build the test from scratch.","Replied using corpus-grounded evidence from Create Test Variants, Create a Test Creating a Test Additional test actions. Top score=0.447; confidence=high; product_area=screen. area_confidence=high.",product_issue
replied,screen,"Here are the most relevant assessment platform steps. Here is what you can do next based on the support documentation: 1) HackerRank for Work allows you to extend the test duration for candidates in two ways: 2) This ensures that candidates have a fair opportunity to complete their tests, whether due to accessibility needs or unexpected technical issues. 3) You can add multiple email addresses to your HackerRank account and set or change your primary email address. Your primary email address is used to log in and receive communications from HackerRank.","Replied using corpus-grounded evidence from Extend Test Duration for Candidates Add Time Accommodation Add extra time, Add or Delete Email Addresses. Top score=0.199; confidence=medium; product_area=screen. area_confidence=high.",product_issue
replied,privacy,"I understand this is privacy-sensitive; here are the safest next steps. Here is what you can do next based on the support documentation: 1) You can delete your HackerRank Community account if you no longer want to use the platform. Deleting your account permanently removes all your data, such as your profile page, earned badges, leaderboard positions, and so on. 2) To delete your HackerRank Community account: 3) To delete or rename an individual conversation:","Replied using corpus-grounded evidence from Delete an Account, How can I delete or rename a conversation?. Top score=0.608; confidence=high; product_area=privacy. area_confidence=high.",product_issue
replied,privacy,"I understand this is privacy-sensitive; here are the safest next steps. Here is what you can do next based on the support documentation: 1) To delete or rename an individual conversation: 2) 1. Navigate to the conversation you want to delete or rename. 3) You can delete your HackerRank Community account if you no longer want to use the platform. Deleting your account permanently removes all your data, such as your profile page, earned badges, leaderboard positions, and so on.","Replied using corpus-grounded evidence from How can I delete or rename a conversation?, Delete an Account. Top score=0.193; confidence=medium; product_area=privacy. area_confidence=high.",product_issue
replied,conversation_management,"I am sorry, this request is outside my supported scope from the available support corpus.",Classified as invalid/out-of-scope and replied safely without unsupported claims. area_confidence=high.,invalid
replied,travel_support,I can help you with the immediate travel-support steps. Here is what you can do next based on the support documentation: 1) Visa Traveller's Cheques offer convenience and security while you travel. 2) [Contact us about traveller’s cheques](/supporting-info/travelers-cheques-contact-us.html) 3) Accepting Visa Traveller's Cheques,"Replied using corpus-grounded evidence from Visa Traveller's Cheques for Consumers, How to accept Visa Traveller's Cheques. Top score=0.607; confidence=high; product_area=travel_support. area_confidence=high.",product_issue
replied,general_support,"Based on the support corpus, here is the recommended next step. Here is what you can do next based on the support documentation: 1) The magic of travel begins with a single tap. 2) With Visa, travelling the world is beautifully simple. 3) Learn more about Visa Rules as a consumer or merchant","Replied using corpus-grounded evidence from Visa Travel Services | Visa Travel Credit Card Support, Visa Credit Card Rules & Regulations. Top score=0.437; confidence=high; product_area=general_support. area_confidence=high.",product_issue
replied,,"I am sorry, this request is outside my supported scope from the available support corpus.",Classified as invalid/out-of-scope and replied safely without unsupported claims. area_confidence=high.,invalid
