status,product_area,response,justification,request_type
replied,screen,"Here is what you can do next based on the support documentation: 1) You can create a test in HackerRank to assess candidates for specific skills, experience levels, or job roles. Depending on your selection, HackerRank recommends relevant questions or allows you to build the test from scratch. 2) To create a test: 3) You can delete a test when you no longer need it. Deleting a test permanently removes it from your account along with all associated candidate reports. The questions used in the test remain in your Library.","Replied using corpus-grounded evidence from Create a Test Creating a Test Additional test actions, Delete a Test Prerequisites Deleting a test. Top score=0.194; product_area=screen.",product_issue
escalated,general_support,Thanks for reporting this. I am escalating your request to a human support specialist because this case is sensitive or needs account-level review.,Escalated due to risk/scope and confidence constraints in general_support. Top evidence count=5.,bug
replied,screen,"Here is what you can do next based on the support documentation: 1) Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on the most relevant content. 2) To create test variants: 3) You can create a test in HackerRank to assess candidates for specific skills, experience levels, or job roles. Depending on your selection, HackerRank recommends relevant questions or allows you to build the test from scratch.","Replied using corpus-grounded evidence from Create Test Variants, Create a Test Creating a Test Additional test actions. Top score=0.448; product_area=screen.",product_issue
replied,screen,"Here is what you can do next based on the support documentation: 1) HackerRank for Work allows you to extend the test duration for candidates in two ways: 2) This ensures that candidates have a fair opportunity to complete their tests, whether due to accessibility needs or unexpected technical issues. 3) In today’s candidate market, hiring teams are struggling with the disinterest candidates have in taking an assessment during the recruitment and hiring process. There are various reasons for this disinterest, including those driven by candidates, customers, or HackerRank, and we’ve tried to address most of them in this document.","Replied using corpus-grounded evidence from Extend Test Duration for Candidates Add Time Accommodation Add extra time, Mitigating Candidate Drop-Off. Top score=0.268; product_area=screen.",product_issue
replied,privacy,"Here is what you can do next based on the support documentation: 1) What happens to Google Auth sign-in if my company email domain changes? 2) If your company changes its email domain, create a new HackerRank account using your new company email. Then, merge your existing account with the new one and set the new account as your primary login. 3) You can delete your HackerRank Community account if you no longer want to use the platform. Deleting your account permanently removes all your data, such as your profile page, earned badges, leaderboard positions, and so on.","Replied using corpus-grounded evidence from Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account, Delete an Account. Top score=0.443; product_area=privacy.",product_issue
replied,privacy,Here is what you can do next based on the support documentation: 1) To delete or rename an individual conversation: 2) 1. Navigate to the conversation you want to delete or rename. 3) Before deleting Claude accounts with paid subscriptions (Pro or Max plans):,"Replied using corpus-grounded evidence from How can I delete or rename a conversation?, How can I delete my Claude account?. Top score=0.181; product_area=privacy.",product_issue
replied,conversation_management,"I am sorry, this request is outside my supported scope from the available support corpus.",Classified as invalid/out-of-scope and replied safely without unsupported claims.,invalid
replied,travel_support,Here is what you can do next based on the support documentation: 1) Visa Traveller's Cheques offer convenience and security while you travel. 2) [Contact us about traveller’s cheques](/supporting-info/travelers-cheques-contact-us.html) 3) Accepting Visa Traveller's Cheques,"Replied using corpus-grounded evidence from Visa Traveller's Cheques for Consumers, How to accept Visa Traveller's Cheques. Top score=0.481; product_area=travel_support.",product_issue
replied,travel_support,"Here is what you can do next based on the support documentation: 1) The magic of travel begins with a single tap. 2) With Visa, travelling the world is beautifully simple. 3) [Security compliance](/support/small-business/security-compliance.html)","Replied using corpus-grounded evidence from Visa Travel Services | Visa Travel Credit Card Support, PYB – Fraud Prevention. Top score=0.409; product_area=travel_support.",product_issue
replied,conversation_management,"I am sorry, this request is outside my supported scope from the available support corpus.",Classified as invalid/out-of-scope and replied safely without unsupported claims.,invalid
